filename,category,mode,yolo_model,llm_model,configuration,description,detection_latency,ocr_latency,depth_latency,generation_latency,total_latency,num_objects_detected,objects_detected,ocr_text,ocr_num_texts,depth_mean,word_count,tokens_used,success,error,timestamp,approach_version,cache_hit,complexity,max_tokens_used
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:45.321498,3.5,False,,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:45.626073,3.5,False,,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:45.743050,3.5,False,,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:45.859034,3.5,False,,
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:45.976084,3.5,False,,
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:46.090321,3.5,False,,
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:46.257735,3.5,False,,
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:47.414849,3.5,False,,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:47.551483,3.5,False,,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:47.663043,3.5,False,,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:47.795760,3.5,False,,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:48.261493,3.5,False,,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:48.373648,3.5,False,,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:48.499689,3.5,False,,
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:48.762947,3.5,False,,
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:48.870114,3.5,False,,
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:48.980107,3.5,False,,
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,ocr,yolov8n,gpt-4o-mini,YOLOv8N+PaddleOCR+gpt-4o-mini,,,,,,,0,,,,,,,False,'NoneType' object has no attribute 'get',2025-11-24T21:17:49.090237,3.5,False,,
